file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_4valid.csv,project146,0,10,0,0
fold_4valid.csv,project690,1,10,1,0.125
fold_4valid.csv,project127,1,10,1,0.25
fold_4valid.csv,project614,1,10,1,0.5
fold_4valid.csv,project660,1,10,1,1
fold_4valid.csv,project735,0,10,0,0
fold_4valid.csv,project535,0,10,0,0
fold_4valid.csv,project136,0,10,0,0
fold_4valid.csv,project760,1,10,1,1
fold_4valid.csv,project283,0,10,0,0
fold_4valid.csv,project367,1,10,1,1
fold_4valid.csv,project16,1,10,1,1
fold_4valid.csv,project569,0,10,0,0
fold_4valid.csv,project97,0,10,0,0
fold_4valid.csv,project383,1,10,1,1
fold_4valid.csv,project86,0,10,0,0
fold_4valid.csv,project479,1,10,1,0.1
fold_4valid.csv,project816,1,10,1,0.2
fold_4valid.csv,project742,1,10,1,1
fold_4valid.csv,project882,1,10,1,1
fold_4valid.csv,project212,0,10,0,0
fold_4valid.csv,project314,0,10,0,0
fold_4valid.csv,project514,0,10,0,0
fold_4valid.csv,project988,1,10,1,0.2
fold_4valid.csv,project677,1,10,1,0.5
fold_4valid.csv,project80,0,10,0,0
fold_4valid.csv,project693,1,10,1,1
fold_4valid.csv,project638,1,10,1,0.166666667
fold_4valid.csv,project166,0,10,0,0
fold_4valid.csv,project672,1,10,1,1
fold_4valid.csv,project366,0,10,0,0
fold_4valid.csv,project175,1,10,1,0.25
fold_4valid.csv,project790,1,10,1,1
fold_4valid.csv,project943,0,10,0,0
fold_4valid.csv,project504,0,10,0,0
fold_4valid.csv,project370,0,10,0,0
fold_4valid.csv,project522,0,10,0,0
fold_4valid.csv,project533,1,10,1,1
fold_4valid.csv,project438,1,10,1,1
fold_4valid.csv,project901,0,10,0,0
fold_4valid.csv,project61,1,10,1,1
fold_4valid.csv,project347,1,10,1,0.142857143
fold_4valid.csv,project575,0,10,0,0
fold_4valid.csv,project271,1,10,1,1
fold_4valid.csv,project399,1,10,1,0.25
fold_4valid.csv,project887,1,10,1,1
fold_4valid.csv,project740,1,10,1,1
fold_4valid.csv,project559,0,10,0,0
fold_4valid.csv,project888,1,10,1,1
fold_4valid.csv,project597,0,10,0,0
fold_4valid.csv,project469,1,10,1,1
fold_4valid.csv,project272,0,10,0,0
fold_4valid.csv,project317,1,10,1,1
fold_4valid.csv,project222,1,10,1,0.142857143
fold_5valid.csv,Applicatons/libraries,0,10,0,0
fold_5valid.csv,project276,1,10,1,0.2
fold_5valid.csv,project821,1,10,1,1
fold_5valid.csv,project106,1,10,1,1
fold_5valid.csv,project889,0,10,0,0
fold_5valid.csv,project668,1,10,1,0.25
fold_5valid.csv,project356,1,10,1,1
fold_5valid.csv,project13,0,10,0,0
fold_5valid.csv,project570,0,10,0,0
fold_5valid.csv,project838,1,10,1,1
fold_5valid.csv,project118,0,10,0,0
